ESO602-G25    ;       ;     ;       ;    ; ;   6.56; 0.31; ;   9.70;0.39; ;       ;    ; ;      ;    ; ;  8.10; 0.29; ;3x3;
NGC7314       ;       ;     ;   1.01;0.17; ;   1.21; 0.19; ;   1.95;0.14; ;   3.08;0.06; ;  3.09;0.05; ;  3.19; 0.17; ;3x3;
UGC12138      ;       ;     ;       ;    ; ;       ;     ; ;       ;    ; ;       ;    ; ;      ;    ; ;  0.43; 0.10; ;3x3;
NGC7469       ;       ;     ;  24.31;0.58; ;  27.52; 0.76; ;  33.48;0.57; ;  32.69;0.17; ; 26.54;0.21; ; 24.01; 0.41; ;3x3;
IRAS23060+0505;       ;     ;       ;    ; ;       ;     ; ;       ;    ; ;       ;    ; ;      ;    ; ;  1.73; 0.18; ;3x3;
IC5298        ;       ;     ;       ;    ; ;  10.34; 0.46; ;  11.87;0.27; ;       ;    ; ;      ;    ; ;  7.97; 0.20; ;3x3;
NGC7591       ;       ;     ;       ;    ; ;   7.57; 0.45; ;       ;    ; ;       ;    ; ;      ;    ; ; 11.08; 0.22; ;3x3;
NGC7592W      ;       ;     ;       ;    ; ;       ;     ; ;       ;    ; ;       ;    ; ;      ;    ; ;  7.37; 0.34; ;3x3;
NGC7582       ;  27.52; 0.39;  49.81;0.81; ;  56.24; 0.97; ;  65.50;0.52; ;  63.44;0.21; ; 53.91;0.21; ; 47.49; 0.46; ;3x3;
NGC7603       ;       ;     ;       ;    ; ;       ;     ; ;       ;    ; ;       ;    ; ;      ;    ; ;  2.19; 0.19; ;3x3;
PKS2322-12    ;       ;     ;       ;    ; ;   0.04; 0.04; ;   0.07;0.02; ;   0.08;0.01; ;  0.11;0.01; ;  0.12; 0.03; ;c  ;
NGC7674       ;       ;     ;       ;    ; ;   5.05; 0.42; ;   5.83;0.24; ;       ;    ; ;      ;    ; ;  5.64; 0.23; ;3x3;
NGC7679       ;       ;     ;       ;    ; ;   7.07; 0.33; ;       ;    ; ;       ;    ; ;      ;    ; ;  7.98; 0.34; ;3x3;
IRAS23365+3604;       ;     ;       ;    ; ;   8.31; 0.27; ;   8.63;0.18; ;   7.10;0.15; ;  5.34;0.05; ;  4.69; 0.12; ;3x3;
NGC253        ; 450.23;14.16; 936.35;8.24; ;1013.00; 5.80; ;1206.10;5.40; ;1071.40;3.20; ;874.91;4.07; ;753.27; 3.54; ;3x3;
M74           ;       ;     ;       ;    ; ;  16.19; 0.91; ;       ;    ; ;  20.79;0.25; ;      ;    ; ;  8.32; 0.36; ;3x3;
NGC891        ;       ;     ;       ;    ; ;  32.97; 1.16; ;       ;    ; ;  45.68;0.27; ;      ;    ; ;351.00;28.00;a;3x3;
NGC1222       ;       ;     ;       ;    ; ;  12.48; 0.48; ;       ;    ; ;  13.37;0.17; ;      ;    ; ; 10.58; 0.62; ;3x3;
IC342         ;       ;     ;       ;    ; ;  54.78; 0.65; ;  95.70;0.94; ;  15.25;0.32; ;      ;    ; ;150.73; 2.63; ;3x3;
